Date,Invoice,Customer,Cash
2022-02-27,da3f4b23fe,18474.0,10000
2022-02-25,64857173c0,12151.0,10000
2022-02-25,c184fda8c5,7085.0,13600
2022-02-24,5073e844ea,12151.0,10000
2022-02-24,773f01a1c5,19141.0,6000
2022-02-24,23f680fa80,19141.0,9000
2022-02-24,b29bb670b6,19141.0,9500
2022-02-24,8024e4df7d,11454.0,12200
2022-02-23,5b2dac9e18,18898.0,10160
2022-02-22,3f6f10ca17,9652.0,10000
2022-02-22,2e95bed305,11454.0,15000
2022-02-22,48845d5b8c,18975.0,10000
2022-02-21,7a21b05cba,11454.0,10000
2022-02-20,c5b5770db6,11454.0,15000
2022-02-18,279277d593,18449.0,20000
2022-02-18,f4d4b9e638,18449.0,20000
2022-02-18,a2b47b55b8,18991.0,1980
2022-02-18,88326bb4b1,18991.0,6000
2022-02-18,89c6b41130,18991.0,4500
2022-02-18,6202791e75,18991.0,950
2022-02-18,247e4a283c,11454.0,15000
2022-02-18,93e8f3ad43,18898.0,10800
2022-02-18,884fc0ebb0,18975.0,12000
2022-02-18,83bb7d289a,8857.0,10000
2022-02-18,fc118b9cdc,8857.0,400
2022-02-17,b6039f0c0c,11326.0,13000
2022-02-16,cd71e5c9f5,735.0,11000
2022-02-16,fe858eee51,11326.0,17000
2022-02-15,11e2043286,4512.0,10500
2022-02-15,f745bbcd62,17384.0,10500
2022-02-12,03c11cca16,16650.0,10000
2022-02-12,c7d20491b2,18679.0,11000
2022-02-11,1c1bf985db,8857.0,10000
2022-02-11,ed44f4240c,8857.0,20000
2022-02-11,fb068b6c78,16650.0,33400
2022-02-10,b3de83feac,5993.0,12500
2022-02-08,189a6c2eb8,11454.0,11000
2022-02-07,01507c85f4,11454.0,12000
2022-02-05,959d0ceb3e,11454.0,200
2022-02-05,271313b843,11454.0,4900
2022-02-05,459b7be16d,11454.0,4900
2022-02-04,2996e8a7f1,11454.0,2200
2022-02-04,d4e6e8f8b2,11454.0,4900
2022-02-04,6f1bf7b850,11454.0,4900
2022-02-04,6da1524d24,18449.0,10000
2022-02-03,0fc09a9b71,18474.0,30500
2022-02-03,a11e0acacf,17384.0,25000
2022-02-02,470c72e38a,16480.0,16000
2022-02-01,f524e2af72,6525.0,7500
2022-02-01,e3a8bbe1ee,6525.0,7500
2022-02-01,dafcd021d0,18244.0,10000
2022-02-01,f0c214108c,2647.0,300
2022-02-01,9d3df5d869,2647.0,4900
2022-02-01,958bd60049,2647.0,4900
2022-02-01,7002053de8,2647.0,4900
2022-02-01,e4bc27778b,2647.0,140
2022-02-01,2015c6ad85,16480.0,10000
2022-02-01,87063be359,16650.0,11000
2022-02-01,eefbadc51c,16650.0,5000
2022-02-01,64737a7191,16650.0,4900
2022-02-01,1e19b5c7f8,16650.0,100
2022-01-29,cc9d7aeb60,8382.0,10000
2022-01-29,4851355545,9652.0,11900
2022-01-28,039d19abfb,9652.0,11800
2022-01-28,62d90688a1,16025.0,10000
2022-01-27,dec6ade6af,9652.0,11300
2022-01-26,2766f49b16,9652.0,11700
2022-01-25,096d08cf01,9652.0,11000
2022-01-24,e4f4a7baf3,18196.0,6840
2022-01-24,7d0a0beceb,18196.0,6500
2022-01-24,acf2bcb964,18196.0,6500
2022-01-24,189d96d7a3,9652.0,11000
2022-01-23,f000cebe2e,9652.0,10900
2022-01-22,6c5ea6a8c6,9652.0,11000
2022-01-21,cbd84580fc,9652.0,11100
2022-01-15,7fc90a2bb9,17660.0,10000
2022-01-13,f68d3f0531,4512.0,11800
2022-01-11,3f7713dbe1,16480.0,10000
2022-01-08,dee7f408d8,9652.0,11000
2022-01-07,423b2433d2,9652.0,11000
2022-01-07,7e366521fc,17659.0,11000
2022-01-06,212dfc23c5,9652.0,11000
2022-01-06,5a276c2f94,17659.0,900
2022-01-06,bd590aeacf,17659.0,9100
2022-01-06,95ac13d741,14514.0,12950
2022-01-05,513e21ba0f,6525.0,7000
2022-01-05,97a503f25e,6525.0,6500
2022-01-05,3e238c5d7e,9652.0,10000
2022-01-04,696ba14799,1545.0,20000
2022-01-01,46f0dc3118,11326.0,11000
2022-01-01,974f8b7168,3678.0,4500
2022-01-01,e7b400dcb3,3678.0,4500
2022-01-01,6fc819b5a1,3678.0,360
2022-01-01,1d421fff86,3678.0,550
2022-01-01,afe9782b14,3678.0,300
