Date,Invoice,Customer,Cash
2022-02-27,ce27120a8e,16816.0,1500
2022-02-27,9f7125e1c3,802.0,500
2022-02-27,16842d06af,802.0,500
2022-02-27,608e9dbce3,16480.0,1000
2022-02-27,a24d5799d8,16480.0,400
2022-02-27,45f16e94a9,16186.0,3000
2022-02-26,4a9a580ad1,16816.0,200
2022-02-26,30de1e79e0,16816.0,1500
2022-02-26,8a995195e7,16816.0,200
2022-02-26,ec79fc01de,802.0,2000
2022-02-26,2e7ed28d4a,802.0,400
2022-02-26,8dffd7ad1c,11454.0,9000
2022-02-26,6f5f911663,16186.0,550
2022-02-26,2c48edacd8,16186.0,2900
2022-02-25,cd90ac879a,16816.0,700
2022-02-25,1b1aabdb08,802.0,1100
2022-02-25,c830dab260,16480.0,6000
2022-02-25,66826be848,16186.0,1200
2022-02-24,4986e6f936,16816.0,2500
2022-02-24,44f73bb3e9,16816.0,2500
2022-02-24,3fce0dca67,16816.0,200
2022-02-24,da2fc8b21c,802.0,200
2022-02-24,494821a936,802.0,400
2022-02-24,b3920de875,802.0,3000
2022-02-24,52a85f862f,802.0,800
2022-02-24,14a18a1e60,16480.0,7500
2022-02-24,a10d84cedb,18598.0,1500
2022-02-24,8acec95178,16186.0,600
2022-02-24,addc09b4e7,16186.0,300
2022-02-23,872b77f44e,16816.0,100
2022-02-23,5d4e3f681c,946.0,2310
2022-02-23,1da58e17ed,946.0,2010
2022-02-23,3d40ab1652,18598.0,1000
2022-02-23,2c19cab817,18598.0,4000
2022-02-23,24d01bd626,16186.0,800
2022-02-22,10d4a7bdcb,802.0,300
2022-02-22,7b203646f9,802.0,200
2022-02-22,d638d65940,16480.0,800
2022-02-22,f2a31dd988,16186.0,1500
2022-02-21,19f62be1bd,802.0,2000
2022-02-21,0574206372,17236.0,1700
2022-02-21,5ba3d62d56,18598.0,1400
2022-02-21,227ab188ff,16186.0,560
2022-02-21,d002bc16bd,16186.0,3000
2022-02-20,333046d236,802.0,1500
2022-02-20,e8bd771d03,16186.0,3000
2022-02-19,b3fa47d92e,16816.0,120
2022-02-19,16f8ec3b35,802.0,2000
2022-02-19,67d6944c46,18598.0,3000
2022-02-19,ab04c69a2a,16186.0,400
2022-02-19,fab8884df6,16186.0,2600
2022-02-18,f42f909ab0,16816.0,100
2022-02-18,5d6dac8af0,802.0,2800
2022-02-18,8295b2eb89,16186.0,2200
2022-02-18,b4a8b41928,16186.0,300
2022-02-17,c415e9169a,802.0,2000
2022-02-17,ae06be87a3,17236.0,1800
2022-02-17,926972b6e7,5993.0,5000
2022-02-17,a468508a82,18598.0,3850
2022-02-17,73c9009647,16186.0,2300
2022-02-16,ec650b3d9c,16816.0,100
2022-02-16,8bd0e883df,16816.0,100
2022-02-16,d8dc2d45d4,5993.0,5500
2022-02-16,a4dca7ec96,16186.0,180
2022-02-16,27d3778c0c,16186.0,2000
2022-02-15,f1a7bb4424,802.0,500
2022-02-15,2675aa1f14,17236.0,4700
2022-02-15,9f276c186d,16480.0,440
2022-02-14,dec006a0db,802.0,1100
2022-02-14,53e5c95882,5993.0,4500
2022-02-14,b83f4b5705,18598.0,3815
2022-02-13,7c1a396be4,5993.0,2600
2022-02-13,afb0473d7c,11454.0,6400
2022-02-13,71f498eae0,16186.0,1450
2022-02-12,7a9666f6e3,802.0,1000
2022-02-12,471f27f1fe,17236.0,4650
2022-02-12,2b90edf651,18598.0,3850
2022-02-12,90aab8647a,16186.0,900
2022-02-11,612aaa6b41,16816.0,100
2022-02-11,75eba88ff2,17236.0,4700
2022-02-11,927696ab0c,5993.0,7525
2022-02-11,02720bf425,946.0,6115
2022-02-11,2967a3f8f1,16480.0,1400
2022-02-11,8281c6484b,16186.0,200
2022-02-10,5d8838aeb2,802.0,400
2022-02-10,462b6f76e7,802.0,3000
2022-02-10,fa5d7b2897,946.0,3040
2022-02-10,3dca80cdd8,946.0,1800
2022-02-10,8849e8646b,16186.0,100
2022-02-09,feb76580a3,16816.0,1300
2022-02-09,58f604e9cc,802.0,600
2022-02-09,84f37b29c5,802.0,1000
2022-02-09,12c64e687d,11454.0,7000
2022-02-09,2bfcfc7f8d,18598.0,1000
2022-02-09,848a950a7c,16186.0,1300
2022-02-08,d979baac15,16816.0,2200
2022-02-08,50db7f9aed,16816.0,2300
2022-02-08,53c9408e55,802.0,1000
2022-02-07,2273825c7a,16816.0,2500
2022-02-07,1123188b1f,16816.0,1500
2022-02-07,17aa9f57c6,802.0,1000
2022-02-07,d0ee957dfd,17236.0,4500
2022-02-07,0eed609afd,16480.0,4500
2022-02-07,44cca282a5,16186.0,1400
2022-02-06,60459265aa,16816.0,2500
2022-02-06,f2f479ee4b,802.0,200
2022-02-06,b7165702d1,802.0,200
2022-02-06,10dacf5506,802.0,400
2022-02-06,cfee5acceb,802.0,400
2022-02-06,054c1b8800,11454.0,5000
2022-02-06,474a06c2bf,18598.0,2350
2022-02-06,0f5c2b3bc7,16186.0,1000
2022-02-05,1ba3beb22c,802.0,400
2022-02-05,57c9edc372,17236.0,4600
2022-02-05,01648ea3e9,16480.0,3000
2022-02-05,92612e7b08,16186.0,100
2022-02-05,31cc720bdc,16186.0,550
2022-02-04,0a531f3471,16816.0,2000
2022-02-04,b30bca69d4,16816.0,1500
2022-02-04,40e95c4b13,802.0,1000
2022-02-04,0fa4df32c1,802.0,600
2022-02-04,2f6427b9c2,17236.0,3350
2022-02-04,3153682334,17236.0,50
2022-02-04,3c4f2f0b2a,17236.0,900
2022-02-04,3985d4b0df,946.0,3220
2022-02-04,06af029288,946.0,6685
2022-02-03,22cfdd48af,16816.0,2500
2022-02-03,d16242750c,16816.0,4000
2022-02-03,572b550dee,16816.0,2100
2022-02-03,33d79c19e3,802.0,200
2022-02-03,e343b382eb,802.0,1500
2022-02-03,139ce5b9d8,16480.0,3000
2022-02-03,125448c4d3,16186.0,200
2022-02-03,4f24624931,16186.0,900
2022-01-30,ad484a0ce8,12175.0,1500
2022-01-30,f3a28ead7f,946.0,5715
2022-01-28,283af48d72,946.0,3100
2022-01-27,b5be185004,12175.0,1500
2022-01-27,ce598b9983,946.0,3035
2022-01-26,6e0c1d86cd,17660.0,2000
2022-01-26,50f7318475,17660.0,1000
2022-01-26,06be2f315a,946.0,4020
2022-01-25,b905852e1f,17660.0,100
2022-01-25,42ea0c408e,17660.0,700
2022-01-25,70a2a670df,17660.0,2250
2022-01-25,bb7e0ae628,12175.0,5000
2022-01-25,c46d1daa84,946.0,5050
2022-01-24,193a7eb1bd,12175.0,455
2022-01-24,637201245e,12175.0,2550
2022-01-24,e99598755a,12175.0,5000
2022-01-23,067e9fb0b0,946.0,3020
2022-01-22,f0ac26ff0a,17660.0,5700
2022-01-22,cdcaabbaad,946.0,3040
2022-01-21,b6a25e507d,17660.0,6000
2022-01-21,2e7274e9f9,12175.0,4000
2022-01-20,ab29a4327d,17660.0,5000
2022-01-20,d57ac71f85,946.0,5020
2022-01-19,4abf592643,17660.0,5000
2022-01-19,062fc9707b,12175.0,1430
2022-01-19,cf17246f73,12175.0,4100
